ZIP Code,Cases,Cases Per 10000 Residents,Deaths,Number of Records
28531,1,7,0,1
28729,8,27,0,1
28702,1,14,0,1
28659,270,128,4,1
28553,1,19,0,1
27305,24,151,1,1
27708,1,2,0,1
27023,81,63,1,1
28636,25,48,1,1
27529,498,92,5,1
27325,99,129,0,1
28409,199,57,4,1
28129,41,68,0,1
28606,16,68,0,1
27980,2,10,0,1
28333,270,252,2,1
27923,0,0,0,1
28689,12,72,0,1
28733,0,0,0,1
28582,3,16,0,1
27127,495,129,5,1
27055,175,121,2,1
28083,232,90,6,1
28721,24,22,0,1
28436,19,82,0,1
27314,4,35,0,1
27531,2,30,0,1
28080,25,31,0,1
28090,30,35,1,1
28748,29,23,1,1
27886,183,85,5,1
27839,9,24,0,1
27312,139,63,20,1
27317,154,86,3,1
28164,69,45,0,1
27507,11,54,1,1
27607,112,37,0,1
28458,206,294,4,1
27509,523,754,26,1
27954,10,16,0,1
27863,74,58,0,1
27707,658,140,4,1
28631,16,299,0,1
27054,24,92,0,1
28438,13,77,0,1
28552,0,0,0,1
28105,404,89,18,1
28803,97,28,2,1
27268,1,6,0,1
27870,204,77,4,1
27806,4,16,0,1
27875,0,0,0,1
27340,0,0,0,1
28909,1,9,0,1
28518,84,95,1,1
28428,65,91,0,1
27553,13,64,0,1
28604,16,25,0,1
28513,48,44,0,1
27203,460,210,15,1
28077,3,54,0,1
28146,210,69,0,1
28376,383,87,2,1
28508,84,282,1,1
27510,123,85,2,1
28590,133,50,1,1
28511,2,32,0,1
28382,65,81,0,1
28439,24,156,4,1
27410,215,38,3,1
28714,50,29,0,1
28209,293,113,1,1
28786,49,22,0,1
28626,4,13,0,1
27597,215,84,1,1
28352,122,48,1,1
27508,8,34,0,1
28676,8,23,0,1
27560,152,45,1,1
28618,5,20,0,1
27608,44,38,1,1
27563,70,132,1,1
28278,301,93,1,1
28420,36,70,0,1
28468,31,57,0,1
28097,35,57,0,1
27525,98,63,0,1
27052,43,43,0,1
27207,49,129,1,1
27804,197,68,0,1
27909,244,60,17,1
27929,1,5,0,1
27705,808,168,34,1
27577,364,144,2,1
28211,295,94,7,1
28431,83,123,5,1
27941,0,0,0,1
28344,55,144,1,1
28139,140,70,5,1
27827,0,0,0,1
27880,38,116,0,1
28018,23,39,0,1
28001,268,94,5,1
27885,23,268,0,1
27341,34,58,0,1
27103,321,89,9,1
28577,3,50,0,1
27042,5,69,0,1
27050,14,34,0,1
27837,33,51,0,1
27521,40,56,0,1
27966,1,7,0,1
28262,506,116,2,1
28163,23,40,0,1
28395,13,49,0,1
28649,3,29,0,1
27814,3,17,0,1
27260,294,114,10,1
28110,571,103,13,1
28464,64,257,1,1
28679,2,9,0,1
28457,101,79,0,1
27527,171,57,0,1
28735,0,0,0,1
28363,9,83,0,1
27514,192,58,17,1
27503,24,33,0,1
27409,111,62,2,1
28778,25,23,0,1
27536,302,183,30,1
28480,28,102,0,1
27262,200,81,5,1
28715,109,40,1,1
28537,0,0,0,1
28071,17,53,0,1
28056,288,81,3,1
28455,9,52,2,1
27830,28,58,1,1
28016,81,56,1,1
