Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelors degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Avery ,"17,557","17,807",-1.40%,"17,797",3.70%,14.70%,22.90%,45.80%,92.90%,4.70%,0.60%,0.60%,0.10%,1.10%,5.10%,88.50%,971,3.30%,"14,388",74.70%,"$150,600 ","$1,068 ",$284 ,$765 ,131,"6,587",2.15,87.00%,5.50%,79.10%,67.20%,82.30%,20.60%,12.90%,18.10%,46.10%,48.70%,"45,601","72,225","20,461",D,"195,454","$11,083 ",21.5,"$38,134 ","$20,253 ",16.80%,501,"4,533","142,917",-4.80%,"1,720","1,481",918,414,49,"1,379",149,"1,232",72,247.09,"""37011"""
Beaufort ,"46,994","47,784",-1.70%,"47,759",4.80%,19.80%,24.60%,52.50%,72.00%,24.80%,1.00%,0.50%,0.10%,1.60%,8.00%,65.90%,"3,130",3.00%,"26,383",70.40%,"$128,300 ","$1,221 ",$464 ,$713 ,162,"19,325",2.42,94.20%,5.80%,79.00%,65.40%,87.60%,19.40%,13.10%,13.10%,53.60%,49.60%,"50,147","186,547","1,462,057","360,748","548,353","$11,543 ",24.6,"$43,688 ","$26,233 ",18.10%,"1,103","13,259","465,418",5.40%,"3,337","4,088","2,225","1,299",920,"3,044",454,"3,277",57.7,827.19,"""37013"""
Bertie ,"18,947","21,275",-10.90%,"21,282",4.30%,17.40%,23.60%,49.30%,36.20%,61.10%,0.70%,0.80%,0.10%,1.20%,2.40%,34.70%,"1,127",0.90%,"9,843",74.90%,"$80,900 ","$1,083 ",$391 ,$668 ,19,"7,976",2.29,89.10%,3.70%,71.60%,55.50%,78.70%,13.40%,14.10%,12.60%,51.30%,50.30%,"6,481","63,446",D,"145,604","95,917","$4,644 ",25.7,"$33,143 ","$20,430 ",23.50%,293,"4,863","139,984",-1.40%,959,"1,390",837,472,486,851,153,"1,172",30.4,699.27,"""37015"""
Bladen ,"32,722","35,170",-7.00%,"35,190",4.90%,20.30%,22.80%,52.50%,60.80%,34.00%,3.10%,0.30%,Z,1.70%,7.80%,54.90%,"1,885",4.20%,"18,007",70.80%,"$90,000 ","$1,024 ",$408 ,$653 ,52,"13,968",2.38,91.20%,8.10%,77.70%,65.20%,80.10%,15.10%,15.10%,17.80%,50.20%,46.50%,"25,569","52,726","1,904,327","226,655","199,496","$5,714 ",24.4,"$32,378 ","$20,803 ",29.10%,511,"10,089","333,113",-1.00%,"1,778","2,191","1,147",731,476,"1,585",107,"1,852",40.2,874.33,"""37017"""
Brunswick ,"142,820","107,429",32.90%,"107,431",3.70%,14.70%,32.60%,52.30%,86.50%,10.00%,0.80%,0.70%,0.10%,1.80%,4.90%,82.30%,"13,572",4.00%,"95,075",79.00%,"$199,900 ","$1,370 ",$453 ,$903 ,"3,352","54,226",2.32,84.40%,5.20%,90.90%,81.20%,90.40%,28.60%,12.90%,13.70%,49.90%,46.10%,"180,820","326,561","1,982,957","237,118","1,125,773","$10,029 ",24.2,"$54,406 ","$31,204 ",10.50%,"2,554","27,079","976,797",4.30%,"11,453","10,065","5,793","3,259","1,172","8,681","1,534","7,882",126.8,846.97,"""37019"""
